,S.NO,SALONS,January,February,March,April,May,June,July,August,September,October,November,December,2022 Cumm
,1,EA,1550046,1812718,2018729,2354222,2278343,2342305,2337757,2471657,2226555,2292669,2408221,3303671,27396893
,2,Anna,1662966,1778876,1860612,2031979,2115342,2091773,2142933,2390210,2063085,2085604,2116496,2747568,25087444
,3,Adyar,1369190,1918593,2278756,2477731,2540032,2347522,2574959,2901000,2266159,2400769,2189515,3300182,28564408
,4,KNK,879603,1170116,1001169,1328522,1422134,1279687,1189938,1492759,1262730,1155116,1126083,1848249,15156106
,5,Phnx,1405152,1880755,2513182,2841980,3023139,3134006,3141643,3138437,2712669,2872610,2721382,4427794,33812749
,6,Forum,1019801,1234130,1639192,1637813,1679970,1902068,1858384,1886610,1609358,1913330,1859220,2544093,20783969
,7,T nagar,1090030,1465404,1657465,1478085,1640222,1732160,1681958,1632336,1235777,1349565,1497296,1968701,18428999
,8,Hyd,1398353,1817699,1924023,2396636,2590101,1942429,2015577,1789439,1444566,1486680,1601458,1840145,22247106
,9,Chamiers,988510,1324223,1589282,1621346,1627604,1582827,1577544.894,1903555,1496547,1575067,1563706,2067730,18917941.89
,10,Poes,980504,1139776,1319363,1355845,1409549,1388078,1344656,1596680,1391743,1450218,1357328,1607787,16341527
,11,ECR,1146642,1454021,1448781,1518458,1514221,1571665.718,1563453.59,1644969,1274683,1505008,1538949,2144786,18325637.31
,12,Grand Mall,344479,520270,596982,461101,573384,550451,555140.59,531332,485808,514235,600064,682944,6416190.59
,13,TG Kil,987431,919127,1075250,1155762,1260491,1371923,1259823.19,1319340,1201240,1509209,1373785,1379103,14812484.19
,14,Palladium,886653,1200978,994655,1285214,1124083,1184820,1299942,1188151,1056147,1150249,1202316,1598606,14171814
,15,Mogappair,882930,1062051,1076505,1212153,1277894,1207324,1364802,1448667,1446318,1614627,1396458,1824289,15814018
,16,Ashok Nagar,1367486,1745243,1965240,1900992,2068957,1917196,1931863.736,1871295,1710042,1872448,1549047,2211557,22111366.74
,17,VR Mall,1474857,1727222,2213104,2160261,2588432,2254957,2444816.418,2885522,2381814,2477957,2216731,3106805,27932478.42
,18,Wallace,806598,1104019,1041244,1257514,1309539,1120262,1154241.516,1133804,953410,891345,1003717,1291205,13066898.52
,19,BSR Mall,587830,669326,776433,949835,906375,953935,940787,805323,771334,760430,749321,1001870,9872799
,20,OMR,898512,1397331,1358105,1593144,1664372,1649838.72,1639343,1529231,1637041,1626608,1603701,2381983,18979209.72
,21,Marina Mall,905947,1066322,1386961,1527779,1425249,1258481,1539450,1614128,1234442,1346132,1556119,1859939,16720949
,22,Porur,769425,1049254,1088656,1087749,1155619,1093003,1057018,1120609,1034676,990244,1025386,1264334,12735973
,23,Periyar Nagar,0,0,600006,960223,1006423,1104643,1138210,1130393,1061658,1051474,936687,1456176,10445893
,24,Madipakkam,0,0,0,0,478055,795992,782753,993031,750430,834888,775904,1004112,6415165
,25,Alwarthiru,747852,848873,909006,1104989,1006692,1163169,1007006.718,941280,955620,910067,885067,1258899,11738520.72
,26,Ambattur,,,,,279762,563822,519513,673164,584843,734500,805284,841800,5002688
,27,Vepery ,,,,,262874,394355,366214,549508,626744,635050,752493,785703,4372941
,28,Ramapuram,,,,,,,165166,443370,622352,648670,525924,726477,3131959
,29,Madhavaram,,,,,,,,132062,662524,626905,600583,1011715,3033789
,30,Villivakam,,,,,,,,,237429,381095,358325,645636,1622485
,31,Kodambakkam,,,,,,,,,149442,719646,775064,938061,2582213
,32,Choolaimedu,,,,,,,,,21252,365102,390099,533555,1310008
,33,Kolathur,,,,,,,,,,,26260,669391,695651
,34,Tambaram,,,,,,,,,,,190,201854,202044
,35,Avadi,,,,,,,,,,,,75002,75002
,36,Mogappair East,,,,,,,,,,,,,0
,37,Ess Kilp,1181734,1343142,1239404,1595930,1536813,1553557.836,1346812.484,1510673,1185696,1465235,1283724,1825194,17067915.32
,38,Ess Chinta,667581,900564,773143,925060,903358,905188.752,754476.506,799635,862221,764009,815967,1165484,10236687.26
,39,Ess Bessy,667589,1091785,1039950,1276163,1260791,1347163.536,1229608.724,1238023,1159126,1201541,1018067,1610950,14140757.26
,40,Ess Taylors ,708182,878596,827173,866258,925115,853628,755237,903368,900240,641914,1082460,1128472,10470643
,41,Pallikranai,,,,,,,,,,,,,0
,42,Selaiyur,,,,,,,,,,,,,0
,43,Aerohub,,,,,,,,,,,,,0
,44,HYD LULU,,,,,,,,,,,,,0
,45,Vivira Mall,,,,,,,,,,,,,0
,46,Sekaran Mall,,,,,,,,,,,,,0
,47,Ampa skyone,,,,,,,,,,,,,0
,48,MR Nagar,,,,,,,,,,,,,0
,49,Thiruvottiyur,,,,,,,,,,,,,0
,50,VELACHERY,,,,,,,,,,,,,0
,51,Royapuram,,,,,,,,,,,,,0
,,,27375883,34520414,38212371,42362744,44854935,44558230.56,44681028.37,47609561,42675721,45820216,45288397,62281822,520241322.9